modified,license,rightsHolder,bibliographicCitation,references,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,informationWithheld,occurrenceID,catalogNumber,occurrenceRemarks,recordedBy,individualCount,sex,lifeStage,preparations,otherCatalogNumbers,samplingProtocol,samplingEffort,eventDate,eventTime,year,month,day,verbatimEventDate,habitat,country,stateProvince,county,municipality,locality,locationRemarks,verbatimCoordinates,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceRemarks,identifiedBy,dateIdentified,scientificName,genus,specificEpithet,scientificNameAuthorship
5/18/2017,http://creativecommons.org/licenses/by-nc/3.0/,Academy of Natural Sciences,Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=27729690,ANSP,ENT,ANSP,PreservedSpecimen,,3fbb031f-4f3c-4629-8fc3-5eada54d4ef8,ANSP-ENT-24661,,R.A. Leussler,,,adult,pinned,,,,6/24/2021,,1921,6,24,VI - 24 [19]'21,,United States,Iowa,,,Lake Okoboji,,,43.39,-95.15,WGS84,2950,C. Grinter,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
5/18/2017,http://creativecommons.org/licenses/by-nc/3.0/,Academy of Natural Sciences,Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=27729691,ANSP,ENT,ANSP,PreservedSpecimen,,18c72f31-546b-41b5-a583-bb11dd2ebcfe,ANSP-ENT-24662,,,,,adult,pinned,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
5/18/2017,http://creativecommons.org/licenses/by-nc/3.0/,Academy of Natural Sciences,Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=27729692,ANSP,ENT,ANSP,PreservedSpecimen,,f589571b-2dcb-492b-abc6-0f93c3a88e3b,ANSP-ENT-24663,,Grinnell,,,adult,pinned,,,,1891-06-26,,1891,6,26,VI . 26 . [18]91,,United States,Iowa,,,,,,,,,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
5/18/2017,http://creativecommons.org/licenses/by-nc/3.0/,Academy of Natural Sciences,Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=27729693,ANSP,ENT,ANSP,PreservedSpecimen,,8ae67490-6aea-4b48-9b84-59517f688b8a,ANSP-ENT-24664,,,,,adult,pinned,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
5/18/2017,http://creativecommons.org/licenses/by-nc/3.0/,Academy of Natural Sciences,Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=27729694,ANSP,ENT,ANSP,PreservedSpecimen,,f298fad5-6cef-4dd8-bec4-ebbc796e63cb,ANSP-ENT-24665,,,,,adult,pinned,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
5/18/2017,http://creativecommons.org/licenses/by-nc/3.0/,Academy of Natural Sciences,Belitz et al. 2018. Aggregated occurrence records of the federally Endgangered Poweshiek skipperling (Oarisma poweshiek),http://symbiota4.acis.ufl.edu/scan/portal/collections/individual/index.php?occid=27729695,ANSP,ENT,ANSP,PreservedSpecimen,,3a26b077-705c-4281-9105-c3357c436a9c,ANSP-ENT-24666,,H.H. Chuah,,,adult,pinned,,,,7/1/1992,,1992,7,1,1-Jul-92,,United States,Iowa,Emmet,,Roadside rest area Jct. Rt. 9 & 360th Ave. 2 mi. w. of Esterville,,,43.42,-94.87,WGS84,1130,C. Grinter,,,,,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
7/17/2018,http://creativecommons.org/licenses/by-nc/3.0/,BugGuide,http://symbiota4.acis.ufl.edu/scan/lepnet/portal/collections/individual/index.php?occid=34869164,http://symbiota4.acis.ufl.edu/scan/lepnet/portal/collections/individual/index.php?occid=34869164,BISON,BugGuide,BISON,HumanObservation,,urn:uuid:30396f2d-0bee-40b8-9f4a-5e9fd20004de,61478880,https://bugguide.net/node/view/713903,,,,adult,,713903,,,6/28/2012,,2012,6,28,6/28/2012,,United States,Wisconsin,,,,,,,,,,,,,,T. Palmer,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
7/17/2018,http://creativecommons.org/licenses/by-nc/3.0/,BugGuide,http://symbiota4.acis.ufl.edu/scan/lepnet/portal/collections/individual/index.php?occid=34877321,http://symbiota4.acis.ufl.edu/scan/lepnet/portal/collections/individual/index.php?occid=34877321,BISON,BugGuide,BISON,HumanObservation,,urn:uuid:87c10e7d-6a4a-44f0-a1a9-4ff4b19649b4,61487038,https://bugguide.net/node/view/452588,,,,adult,,452588,,,6/30/2010,,2010,6,30,6/30/2010,,United States,Michigan,Oakland,,,,,42.7,-83.4,,41300,,county centroid,,,D.L. Cuthrell,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
7/17/2018,http://creativecommons.org/licenses/by-nc/3.0/,BugGuide,http://symbiota4.acis.ufl.edu/scan/lepnet/portal/collections/individual/index.php?occid=34877322,http://symbiota4.acis.ufl.edu/scan/lepnet/portal/collections/individual/index.php?occid=34877322,BISON,BugGuide,BISON,HumanObservation,,urn:uuid:83522880-a12b-4cc7-b378-aca058d2b269,61487039,https://bugguide.net/node/view/821945,,,,adult,,821945,,,7/5/2013,,2013,7,5,7/5/2013,,United States,Michigan,Oakland,,,,,42.7,-83.4,,41300,,county centroid,,,D.L. Cuthrell,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
7/17/2018,http://creativecommons.org/licenses/by-nc/3.0/,BugGuide,http://symbiota4.acis.ufl.edu/scan/lepnet/portal/collections/individual/index.php?occid=34877323,http://symbiota4.acis.ufl.edu/scan/lepnet/portal/collections/individual/index.php?occid=34877323,BISON,BugGuide,BISON,HumanObservation,,urn:uuid:a1728162-5084-4b6b-8dcb-601645e46b9e,61487040,https://bugguide.net/node/view/863916,,,,adult,,863916,,,3/2/2013,,2013,3,2,3/2/2013,,United States,Michigan,Oakland,,,,,42.7,-83.4,,41300,,county centroid,,,H. Ratcliff,,Oarisma poweshiek,Oarisma,poweshiek,"(Parker, 1870)"
